Political-affiliation,Gender,Age,Trump-approval,Education,Race,Marital-status,Jobs-robots,Climate-change,Scientists-honest,Vaccines-children,Books,Funding-science
Independent,Male,29,SomewhatDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,2,AboutRight
Democrat,Male,33,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Independent,Female,32,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,7,Low
Independent,Female,51,SomewhatApprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatDisagree,0,unknown
Independent,Male,41,StronglyApprove,Highschool,White,Relationship,Unlikely,NotReal,StronglyDisagree,StronglyDisagree,0,AboutRight
Republican,Male,59,StronglyApprove,Highschool,White,Married,Unlikely,NotReal,NeitherAgreeDisagree,StronglyAgree,1,High
Republican,Male,70,StronglyApprove,Graduate,unknown,Divorced,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyAgree,5,AboutRight
Independent,Female,65,StronglyApprove,Graduate,White,Married,Likely,NotReal,SomewhatAgree,StronglyAgree,9,unknown
Independent,Female,60,StronglyApprove,SomeCollege,Asian,Married,Likely,NotReal,SomewhatDisagree,StronglyDisagree,14,High
Independent,Male,32,NeitherApproveDisapprove,Highschool,Black,Married,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyAgree,5,unknown
Democrat,Male,36,StronglyDisapprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Independent,Other,60,StronglyApprove,Other,White,Single,Likely,RealCausedbyPeople,StronglyDisagree,unknown,0,AboutRight
Democrat,Female,61,SomewhatApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,5,AboutRight
Independent,Male,23,StronglyDisapprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,70,Low
Democrat,Female,55,StronglyDisapprove,College,Black,Separated,Unlikely,RealCausedbyPeople,StronglyDisagree,SomewhatDisagree,3,High
Democrat,Female,58,SomewhatApprove,SomeCollege,White,Widowed,unknown,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,20,AboutRight
Republican,Male,24,StronglyApprove,Graduate,Latino,Single,Unlikely,NotReal,SomewhatAgree,SomewhatDisagree,5,AboutRight
unknown,Female,34,unknown,College,Black,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,3,Low
unknown,Female,77,unknown,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyDisagree,2,unknown
Independent,Male,36,SomewhatDisapprove,SomeCollege,Black,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatDisagree,5,Low
Republican,Male,19,StronglyApprove,Graduate,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,AboutRight
Democrat,Female,54,StronglyApprove,SomeCollege,White,Divorced,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,5,Low
Republican,Female,23,unknown,SomeCollege,White,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,30,Low
Independent,Female,19,SomewhatDisapprove,SomeCollege,Latino,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,7,High
Independent,Male,67,StronglyApprove,College,Asian,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,0,Low
Independent,Female,38,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,12,Low
unknown,Female,99,StronglyApprove,College,unknown,Single,Unlikely,NotReal,SomewhatAgree,StronglyDisagree,25,Low
Democrat,Male,25,StronglyDisapprove,Graduate,White,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,23,Low
Republican,Female,42,StronglyApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyDisagree,6,Low
Democrat,Female,71,StronglyDisapprove,Graduate,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,13,Low
unknown,Male,48,StronglyDisapprove,SomeCollege,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,1,Low
Democrat,Male,62,StronglyDisapprove,Highschool,White,Married,unknown,RealCausedbyPeople,SomewhatAgree,StronglyAgree,4,unknown
Independent,Other,82,unknown,Highschool,unknown,Single,unknown,RealCausedbyPeople,unknown,SomewhatAgree,0,unknown
unknown,Other,26,StronglyApprove,Graduate,Asian,Separated,Likely,NotReal,SomewhatAgree,NeitherAgreeDisagree,55,unknown
Democrat,Female,65,StronglyDisapprove,College,White,Divorced,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,70,Low
unknown,Male,58,NeitherApproveDisapprove,Graduate,White,Single,Unlikely,NotReal,unknown,StronglyDisagree,12,unknown
Independent,Male,72,unknown,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,Low
unknown,Male,40,StronglyApprove,Graduate,Latino,Relationship,Unlikely,RealNotCausedbyPeople,unknown,SomewhatDisagree,3,Low
Independent,Male,42,NeitherApproveDisapprove,Graduate,Asian,Single,Likely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,4,AboutRight
unknown,Male,22,SomewhatApprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatDisagree,10,Low
Independent,Male,58,StronglyApprove,College,White,Separated,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,0,Low
Independent,Female,20,SomewhatDisapprove,SomeCollege,Latino,Single,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,5,Low
Democrat,Male,42,SomewhatApprove,College,White,Single,Likely,RealCausedbyPeople,SomewhatAgree,StronglyDisagree,20,Low
Independent,Male,23,unknown,SomeCollege,White,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Republican,unknown,62,StronglyApprove,Graduate,White,Married,Unlikely,NotReal,StronglyDisagree,StronglyAgree,50,High
Independent,Female,53,StronglyApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,25,Low
Republican,Female,83,SomewhatDisapprove,SomeCollege,White,Widowed,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,0,AboutRight
Independent,Male,35,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,AboutRight
Independent,Female,53,StronglyApprove,SomeCollege,White,Married,Likely,RealNotCausedbyPeople,SomewhatAgree,StronglyDisagree,5,AboutRight
Independent,Female,40,SomewhatApprove,College,White,Single,Likely,NotReal,SomewhatAgree,StronglyAgree,0,unknown
Democrat,Female,48,SomewhatDisapprove,SomeCollege,Latino,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,4,AboutRight
Independent,Other,48,StronglyApprove,Graduate,White,Relationship,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,3,AboutRight
Republican,Female,65,StronglyApprove,College,White,Divorced,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,10,AboutRight
Democrat,Female,43,StronglyDisapprove,College,Black,Married,Likely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,20,AboutRight
Democrat,Female,23,StronglyDisapprove,SomeCollege,Latino,Single,Unlikely,unknown,SomewhatAgree,SomewhatDisagree,20,unknown
Independent,Other,42,StronglyApprove,Graduate,Black,Single,Likely,NotReal,SomewhatAgree,SomewhatAgree,7,Low
Democrat,Female,70,StronglyDisapprove,Other,White,Married,unknown,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,40,High
unknown,Male,65,StronglyDisapprove,SomeCollege,White,Widowed,Unlikely,unknown,SomewhatAgree,SomewhatAgree,3,Low
Independent,Female,47,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,3,Low
Republican,Male,45,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,7,unknown
Independent,Female,38,StronglyDisapprove,Highschool,White,Married,unknown,NotReal,StronglyDisagree,StronglyAgree,0,Low
Independent,Male,46,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,Low
Republican,Female,51,unknown,Graduate,Latino,Relationship,Likely,unknown,StronglyAgree,StronglyAgree,0,High
Independent,Male,51,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Democrat,Male,28,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,2,Low
Independent,Male,28,SomewhatApprove,SomeCollege,White,unknown,Unlikely,RealNotCausedbyPeople,StronglyDisagree,StronglyAgree,5,AboutRight
Republican,Male,49,SomewhatApprove,Highschool,White,Married,Unlikely,NotReal,SomewhatDisagree,SomewhatDisagree,1,High
Democrat,Male,69,StronglyDisapprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Independent,Male,38,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,4,Low
Independent,Female,46,StronglyDisapprove,Graduate,White,Married,Likely,RealCausedbyPeople,SomewhatDisagree,SomewhatDisagree,5,High
Democrat,Female,49,StronglyDisapprove,Highschool,Black,Widowed,Likely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
Republican,Female,45,SomewhatApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,SomewhatAgree,26,High
Independent,Female,27,NeitherApproveDisapprove,College,Asian,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,30,AboutRight
unknown,Female,41,unknown,Graduate,Latino,Divorced,unknown,RealCausedbyPeople,SomewhatAgree,StronglyAgree,20,AboutRight
Democrat,Female,24,unknown,College,Asian,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
Democrat,Male,32,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
unknown,Male,54,SomewhatDisapprove,Highschool,White,Divorced,Likely,RealNotCausedbyPeople,StronglyAgree,unknown,400,High
Democrat,Male,51,StronglyDisapprove,Graduate,Asian,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Republican,Female,44,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
unknown,Female,45,StronglyDisapprove,College,Black,Divorced,Likely,RealNotCausedbyPeople,StronglyAgree,NeitherAgreeDisagree,10,unknown
Democrat,Female,49,StronglyDisapprove,Graduate,Asian,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,25,Low
unknown,Female,18,StronglyDisapprove,Highschool,Black,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,40,AboutRight
Independent,Female,30,StronglyDisapprove,SomeCollege,Black,Married,Likely,RealNotCausedbyPeople,StronglyAgree,SomewhatDisagree,5,High
Independent,Female,29,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,Low
Republican,Female,21,StronglyApprove,SomeCollege,White,Single,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyAgree,5,AboutRight
Independent,Male,75,StronglyApprove,College,White,Divorced,Likely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,4,Low
Democrat,Female,50,StronglyDisapprove,SomeCollege,White,Relationship,Unlikely,RealCausedbyPeople,StronglyDisagree,SomewhatDisagree,2,Low
unknown,Female,87,SomewhatApprove,SomeCollege,White,Widowed,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,20,unknown
Democrat,Male,72,StronglyDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,12,Low
Independent,Female,54,NeitherApproveDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,100,Low
Democrat,Female,18,SomewhatDisapprove,College,Latino,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,30,High
unknown,Male,41,StronglyDisapprove,SomeCollege,Asian,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,2,Low
Independent,Male,21,unknown,SomeCollege,Asian,Relationship,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,2,AboutRight
Democrat,Male,70,SomewhatApprove,SomeCollege,White,Widowed,Unlikely,RealNotCausedbyPeople,StronglyDisagree,SomewhatAgree,0,unknown
Independent,Female,22,StronglyDisapprove,College,Latino,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Independent,Female,97,SomewhatApprove,College,White,Widowed,Unlikely,unknown,SomewhatDisagree,unknown,5,unknown
unknown,Female,35,unknown,College,Asian,Single,Likely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,7,AboutRight
Democrat,Female,40,StronglyDisapprove,SomeCollege,Asian,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Independent,Male,28,SomewhatApprove,SomeCollege,Other,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,30,AboutRight
unknown,Male,50,unknown,College,unknown,Single,Unlikely,RealCausedbyPeople,StronglyDisagree,unknown,7,High
unknown,Male,29,NeitherApproveDisapprove,SomeCollege,Latino,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,3,Low
Independent,Male,27,StronglyDisapprove,College,Other,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Independent,Male,50,unknown,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,Low
Democrat,Male,20,StronglyDisapprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,7,Low
Democrat,Male,34,SomewhatDisapprove,SomeCollege,Black,Relationship,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,60,AboutRight
Independent,Other,34,SomewhatApprove,College,White,unknown,Likely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,18,High
Democrat,Male,34,StronglyApprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,1,Low
unknown,Male,33,NeitherApproveDisapprove,Graduate,Black,Single,Unlikely,unknown,SomewhatDisagree,NeitherAgreeDisagree,4,Low
unknown,Female,36,unknown,College,White,Married,Unlikely,unknown,StronglyAgree,SomewhatAgree,50,AboutRight
unknown,Male,74,StronglyApprove,Highschool,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,0,High
unknown,Other,21,StronglyApprove,Other,Black,Single,Likely,RealCausedbyPeople,StronglyDisagree,SomewhatDisagree,0,High
Republican,Male,29,SomewhatDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,0,Low
Independent,Female,37,StronglyApprove,Highschool,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyDisagree,0,High
Independent,Female,79,SomewhatDisapprove,Highschool,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,35,unknown
Independent,Male,23,StronglyDisapprove,Graduate,Latino,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Democrat,Male,77,StronglyDisapprove,College,Black,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
Republican,Male,36,StronglyApprove,SomeCollege,Latino,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,10,AboutRight
Republican,Male,69,StronglyApprove,SomeCollege,White,Married,Unlikely,NotReal,StronglyDisagree,unknown,3,AboutRight
Democrat,Female,20,StronglyDisapprove,Highschool,White,Single,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,100,Low
Independent,Male,34,StronglyDisapprove,SomeCollege,Black,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,Low
Independent,Male,23,NeitherApproveDisapprove,SomeCollege,White,Single,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,9,AboutRight
Independent,Male,51,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,6,AboutRight
Republican,Female,68,StronglyApprove,Highschool,White,Married,Likely,unknown,SomewhatDisagree,SomewhatDisagree,4,High
Democrat,Female,68,StronglyDisapprove,College,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,300,Low
Democrat,Female,44,StronglyDisapprove,Highschool,Black,Single,Likely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,12,AboutRight
unknown,Female,19,unknown,College,White,Single,Likely,unknown,StronglyDisagree,unknown,9,unknown
Republican,Male,20,SomewhatApprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,12,Low
unknown,Female,31,unknown,SomeCollege,Black,Relationship,Unlikely,RealNotCausedbyPeople,unknown,StronglyAgree,0,unknown
Republican,Female,67,StronglyApprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,150,unknown
unknown,Female,85,SomewhatApprove,unknown,White,Married,unknown,unknown,SomewhatAgree,SomewhatAgree,0,AboutRight
Independent,Female,28,SomewhatApprove,College,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,AboutRight
Republican,Female,50,StronglyApprove,Highschool,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,AboutRight
Democrat,Male,39,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,25,Low
Independent,Female,34,StronglyDisapprove,SomeCollege,White,Married,Unlikely,unknown,SomewhatAgree,StronglyAgree,36,Low
Independent,Male,50,unknown,Highschool,White,Married,Likely,RealCausedbyPeople,SomewhatDisagree,StronglyDisagree,2,unknown
Democrat,Female,49,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,12,unknown
Democrat,Female,42,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Democrat,Female,42,StronglyDisapprove,Graduate,unknown,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,AboutRight
Independent,Female,65,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,unknown,12,Low
Democrat,Female,49,StronglyDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyDisagree,50,Low
Republican,Male,50,SomewhatApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,4,AboutRight
Independent,Other,70,SomewhatApprove,Graduate,unknown,unknown,Unlikely,NotReal,StronglyAgree,StronglyDisagree,25,AboutRight
unknown,Female,27,StronglyDisapprove,Graduate,Latino,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,27,Low
Republican,Female,54,StronglyApprove,SomeCollege,White,Married,Likely,RealNotCausedbyPeople,unknown,unknown,20,unknown
Independent,Male,73,SomewhatDisapprove,Highschool,Asian,Married,Unlikely,NotReal,StronglyDisagree,StronglyAgree,3,High
unknown,Female,44,unknown,SomeCollege,White,Widowed,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,6,Low
Democrat,Female,45,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,18,Low
unknown,Male,45,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,12,Low
Democrat,Female,80,StronglyDisapprove,Highschool,White,Married,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,20,Low
Democrat,Female,45,StronglyDisapprove,Other,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
Independent,Female,80,StronglyDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,AboutRight
Independent,Other,32,StronglyDisapprove,Highschool,Latino,Single,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,3,unknown
Democrat,Male,45,StronglyDisapprove,College,Latino,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,6,Low
Independent,Female,24,StronglyDisapprove,SomeCollege,White,Relationship,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,SomewhatAgree,30,unknown
Republican,Male,54,StronglyApprove,Graduate,White,Single,Unlikely,RealNotCausedbyPeople,StronglyDisagree,StronglyAgree,3,unknown
Independent,Female,43,StronglyDisapprove,Highschool,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Democrat,Female,43,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,7,AboutRight
Democrat,Female,31,StronglyDisapprove,College,Black,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,4,High
unknown,Male,31,unknown,College,Latino,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,20,Low
Republican,Female,71,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,10,AboutRight
Independent,Male,40,StronglyDisapprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,6,Low
Republican,Male,28,NeitherApproveDisapprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,1,Low
Independent,Male,47,SomewhatDisapprove,Highschool,Black,Single,Unlikely,RealCausedbyPeople,NeitherAgreeDisagree,SomewhatDisagree,3,High
Democrat,Male,22,SomewhatApprove,Graduate,Black,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,20,Low
Democrat,Male,71,SomewhatDisapprove,Highschool,Black,Single,Likely,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,9,High
Republican,Male,77,unknown,SomeCollege,White,Divorced,Unlikely,unknown,unknown,unknown,30,Low
Democrat,Female,68,unknown,College,Latino,Married,Unlikely,RealCausedbyPeople,unknown,unknown,2,unknown
Democrat,Female,46,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,0,AboutRight
Democrat,Female,25,StronglyDisapprove,Graduate,unknown,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,8,Low
Independent,Female,46,StronglyDisapprove,Graduate,White,Married,Unlikely,unknown,SomewhatAgree,StronglyAgree,4,Low
Independent,Male,50,StronglyDisapprove,Graduate,Black,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,10,AboutRight
Independent,Female,25,StronglyDisapprove,College,Black,Single,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyDisagree,10,unknown
Democrat,Female,29,StronglyDisapprove,Highschool,White,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,25,High
Republican,Male,20,StronglyApprove,SomeCollege,White,Single,Unlikely,RealNotCausedbyPeople,StronglyDisagree,StronglyAgree,20,High
unknown,Male,40,unknown,SomeCollege,Latino,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,Low
Independent,Male,32,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,20,Low
Republican,Female,54,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,10,unknown
Republican,Male,35,StronglyDisapprove,Highschool,unknown,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,AboutRight
Democrat,Female,19,StronglyDisapprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,4,Low
Democrat,Female,67,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
Independent,Male,35,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
Republican,Female,42,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,3,Low
Democrat,Male,91,unknown,Highschool,Black,Widowed,unknown,RealNotCausedbyPeople,unknown,unknown,1,unknown
Republican,Female,21,StronglyApprove,SomeCollege,White,Relationship,Unlikely,NotReal,SomewhatAgree,StronglyAgree,4,Low
Republican,Female,67,StronglyApprove,Highschool,White,Widowed,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyAgree,15,Low
unknown,Male,32,StronglyDisapprove,SomeCollege,Black,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,Low
Independent,Male,30,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
Democrat,Female,71,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,40,Low
Independent,Male,73,SomewhatApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,3,Low
Republican,Female,38,SomewhatApprove,College,White,Divorced,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,20,AboutRight
Democrat,Female,30,SomewhatDisapprove,SomeCollege,White,Married,Unlikely,NotReal,SomewhatAgree,StronglyAgree,15,AboutRight
unknown,Male,20,unknown,SomeCollege,White,Relationship,Unlikely,RealNotCausedbyPeople,NeitherAgreeDisagree,NeitherAgreeDisagree,5,AboutRight
Independent,Female,45,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,unknown
Republican,Female,75,unknown,Highschool,White,Widowed,Likely,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,100,High
Democrat,Female,48,StronglyDisapprove,Other,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
unknown,Male,21,unknown,SomeCollege,White,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,Low
Independent,Male,46,SomewhatDisapprove,Highschool,Latino,Other,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,0,unknown
Independent,Other,92,SomewhatDisapprove,Highschool,Asian,Divorced,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,Low
Republican,Male,71,SomewhatApprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyDisagree,SomewhatAgree,2,High
unknown,Female,36,SomewhatApprove,Highschool,White,Divorced,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,200,Low
Democrat,Female,30,StronglyDisapprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
Republican,Male,36,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyAgree,6,AboutRight
unknown,Male,48,StronglyDisapprove,College,unknown,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyDisagree,90,High
Independent,Male,43,StronglyApprove,Highschool,White,Married,Likely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,0,Low
Republican,Male,27,StronglyApprove,Highschool,White,Married,Unlikely,RealCausedbyPeople,StronglyDisagree,SomewhatDisagree,4,High
Democrat,Female,36,StronglyDisapprove,Graduate,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,40,Low
