Political-affiliation	Income	Gender	Age	Trump-approval	Education	Race	Marital-status	Jobs-robots	Climate-change	Scientists-honest	Vaccines-children	Books	Funding-science	ghosts?
Democrat	5000	Male	64	SomewhatDisapprove	Highschool	White	Single	Unlikely	NotReal	SomewhatDisagree	SomewhatDisagree	6	AboutRight	No
Democrat	61000	Female	29	StronglyDisapprove	College	Latino	Single	Likely	RealCausedbyPeople	SomewhatDisagree	StronglyDisagree	0	High	No
Democrat	42000	Female	20	StronglyDisapprove	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	StronglyDisagree	StronglyAgree	15	High	Yes
Democrat	65000	Male	28	SomewhatApprove	SomeCollege	Asian	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatDisagree	100	unknown	Yes
Republican	203000	Male	50	SomewhatApprove	Graduate	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	70	High	No
Independent	168000	Female	58	StronglyDisapprove	Other	Latino	Relationship	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	4	AboutRight	Yes
Independent	130000	Female	36	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	Yes
Democrat	0	Male	43	StronglyDisapprove	Highschool	Asian	Single	Unlikely	NotReal	StronglyDisagree	StronglyAgree	0	AboutRight	No
Republican	0	Female	63	SomewhatApprove	College	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	AboutRight	Yes
Independent	0	Male	45	SomewhatApprove	College	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	2	Low	Yes
Independent	0	Female	78	StronglyDisapprove	SomeCollege	White	Widowed	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	100	Low	Yes
Independent	0	Male	18	StronglyDisapprove	Highschool	Latino	Single	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	3	AboutRight	No
Independent	0	Female	68	SomewhatApprove	Graduate	Other	Widowed	Unlikely	NotReal	SomewhatAgree	StronglyAgree	30	unknown	No
Republican	105000	Female	64	StronglyApprove	Graduate	White	Married	Unlikely	RealNotCausedbyPeople	unknown	SomewhatAgree	15	unknown	No
Republican	0	Male	71	StronglyApprove	College	White	Single	Unlikely	NotReal	StronglyDisagree	StronglyAgree	4	High	No
Democrat	0	Female	66	StronglyDisapprove	SomeCollege	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	Yes
Independent	0	Male	31	SomewhatApprove	Highschool	Latino	Single	Unlikely	NotReal	SomewhatDisagree	SomewhatAgree	1	High	Yes
Republican	0	Male	60	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	5	AboutRight	No
Independent	0	Male	39	StronglyApprove	Graduate	White	Married	Unlikely	NotReal	StronglyDisagree	StronglyDisagree	1	AboutRight	Yes
Independent	0	Male	67	SomewhatDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyDisagree	2	Low	No
Independent	0	Male	20	SomewhatApprove	SomeCollege	Latino	Single	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	25	unknown	No
Democrat	0	Female	57	StronglyDisapprove	College	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Independent	0	Male	29	StronglyApprove	Highschool	White	Married	Unlikely	RealNotCausedbyPeople	StronglyDisagree	StronglyAgree	0	AboutRight	Yes
Independent	0	Male	61	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	StronglyDisagree	SomewhatAgree	7	unknown	Yes
Democrat	0	Female	66	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	unknown	No
Independent	0	Male	63	StronglyDisapprove	College	White	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	700	Low	No
Democrat	0	Female	62	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	Yes
Independent	0	Female	60	StronglyApprove	Highschool	White	Divorced	Unlikely	NotReal	StronglyDisagree	StronglyAgree	50	Low	Yes
Democrat	0	Male	21	StronglyDisapprove	Graduate	Asian	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	17	Low	No
Republican	0	Female	61	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	15	Low	Yes
Independent	0	Female	72	StronglyDisapprove	College	White	Relationship	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	No
Republican	0	Female	28	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	15	Low	Yes
Independent	0	Male	29	SomewhatDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	2	AboutRight	No
Democrat	0	Male	33	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	No
Independent	0	Female	32	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	7	Low	Yes
Independent	0	Female	51	SomewhatApprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatDisagree	0	unknown	No
Independent	0	Male	41	StronglyApprove	Highschool	White	Relationship	Unlikely	NotReal	StronglyDisagree	StronglyDisagree	0	AboutRight	Yes
Republican	0	Male	59	StronglyApprove	Highschool	White	Married	Unlikely	NotReal	NeitherAgreeDisagree	StronglyAgree	1	High	No
Republican	0	Male	70	StronglyApprove	Graduate	unknown	Divorced	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	StronglyAgree	5	AboutRight	Yes
Independent	0	Female	65	StronglyApprove	Graduate	White	Married	Likely	NotReal	SomewhatAgree	StronglyAgree	9	unknown	unknown
Independent	0	Female	60	StronglyApprove	SomeCollege	Asian	Married	Likely	NotReal	SomewhatDisagree	StronglyDisagree	14	High	Yes
Independent	0	Male	32	NeitherApproveDisapprove	Highschool	Black	Married	Unlikely	RealCausedbyPeople	StronglyDisagree	StronglyAgree	5	unknown	Yes
Democrat	0	Male	36	StronglyDisapprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Independent	0	Other	60	StronglyApprove	Other	White	Single	Likely	RealCausedbyPeople	StronglyDisagree	unknown	0	AboutRight	Yes
Democrat	0	Female	61	SomewhatApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	5	AboutRight	Yes
Independent	0	Male	23	StronglyDisapprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatDisagree	70	Low	Yes
Democrat	0	Female	55	StronglyDisapprove	College	Black	Separated	Unlikely	RealCausedbyPeople	StronglyDisagree	SomewhatDisagree	3	High	Yes
Democrat	0	Female	58	SomewhatApprove	SomeCollege	White	Widowed	unknown	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	20	AboutRight	Yes
Republican	0	Male	24	StronglyApprove	Graduate	Latino	Single	Unlikely	NotReal	SomewhatAgree	SomewhatDisagree	5	AboutRight	No
unknown	0	Female	34	unknown	College	Black	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	3	Low	Yes
unknown	0	Female	77	unknown	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyDisagree	2	unknown	No
Independent	0	Male	36	SomewhatDisapprove	SomeCollege	Black	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatDisagree	5	Low	Yes
Republican	0	Male	19	StronglyApprove	Graduate	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	AboutRight	Yes
Democrat	0	Female	54	StronglyApprove	SomeCollege	White	Divorced	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	5	Low	Yes
Republican	0	Female	23	unknown	SomeCollege	White	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	30	Low	Yes
Independent	0	Female	19	SomewhatDisapprove	SomeCollege	Latino	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	7	High	Yes
Independent	0	Male	67	StronglyApprove	College	Asian	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	0	Low	unknown
Independent	0	Female	38	StronglyDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	12	Low	No
unknown	0	Female	99	StronglyApprove	College	unknown	Single	Unlikely	NotReal	SomewhatAgree	StronglyDisagree	25	Low	No
Democrat	0	Male	25	StronglyDisapprove	Graduate	White	Relationship	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	23	Low	No
Republican	0	Female	42	StronglyApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyDisagree	6	Low	Yes
Democrat	0	Female	71	StronglyDisapprove	Graduate	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	13	Low	No
unknown	0	Male	48	StronglyDisapprove	SomeCollege	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	1	Low	No
Democrat	69000	Male	62	StronglyDisapprove	Highschool	White	Married	unknown	RealCausedbyPeople	SomewhatAgree	StronglyAgree	4	unknown	No
Independent	0	Other	82	unknown	Highschool	unknown	Single	unknown	RealCausedbyPeople	unknown	SomewhatAgree	0	unknown	Yes
unknown	0	Other	26	StronglyApprove	Graduate	Asian	Separated	Likely	NotReal	SomewhatAgree	NeitherAgreeDisagree	55	unknown	Yes
Democrat	0	Female	65	StronglyDisapprove	College	White	Divorced	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	70	Low	Yes
unknown	0	Male	58	NeitherApproveDisapprove	Graduate	White	Single	Unlikely	NotReal	unknown	StronglyDisagree	12	unknown	No
Independent	0	Male	72	unknown	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	Low	No
unknown	0	Male	40	StronglyApprove	Graduate	Latino	Relationship	Unlikely	RealNotCausedbyPeople	unknown	SomewhatDisagree	3	Low	No
Independent	0	Male	42	NeitherApproveDisapprove	Graduate	Asian	Single	Likely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	4	AboutRight	No
unknown	0	Male	22	SomewhatApprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatDisagree	10	Low	Yes
Independent	0	Male	58	StronglyApprove	College	White	Separated	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	0	Low	Yes
Independent	0	Female	20	SomewhatDisapprove	SomeCollege	Latino	Single	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	5	Low	Yes
Democrat	0	Male	42	SomewhatApprove	College	White	Single	Likely	RealCausedbyPeople	SomewhatAgree	StronglyDisagree	20	Low	No
Independent	0	Male	23	unknown	SomeCollege	White	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	No
Republican	0	unknown	62	StronglyApprove	Graduate	White	Married	Unlikely	NotReal	StronglyDisagree	StronglyAgree	50	High	No
Independent	41000	Female	53	StronglyApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	25	Low	Yes
Republican	18000	Female	83	SomewhatDisapprove	SomeCollege	White	Widowed	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	0	AboutRight	No
Independent	152000	Male	35	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	10	AboutRight	No
Independent	73000	Female	53	StronglyApprove	SomeCollege	White	Married	Likely	RealNotCausedbyPeople	SomewhatAgree	StronglyDisagree	5	AboutRight	No
Independent	42000	Female	40	SomewhatApprove	College	White	Single	Likely	NotReal	SomewhatAgree	StronglyAgree	0	unknown	Yes
Democrat	68000	Female	48	SomewhatDisapprove	SomeCollege	Latino	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	4	AboutRight	No
Independent	162000	Other	48	StronglyApprove	Graduate	White	Relationship	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	3	AboutRight	Yes
Republican	36000	Female	65	StronglyApprove	College	White	Divorced	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	10	AboutRight	Yes
Democrat	10000	Female	43	StronglyDisapprove	College	Black	Married	Likely	RealCausedbyPeople	SomewhatDisagree	SomewhatAgree	20	AboutRight	No
Democrat	48000	Female	23	StronglyDisapprove	SomeCollege	Latino	Single	Unlikely	unknown	SomewhatAgree	SomewhatDisagree	20	unknown	Yes
Independent	126000	Other	42	StronglyApprove	Graduate	Black	Single	Likely	NotReal	SomewhatAgree	SomewhatAgree	7	Low	Yes
Democrat	9000	Female	70	StronglyDisapprove	Other	White	Married	unknown	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	40	High	No
unknown	122000	Male	65	StronglyDisapprove	SomeCollege	White	Widowed	Unlikely	unknown	SomewhatAgree	SomewhatAgree	3	Low	No
Independent	163000	Female	47	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	3	Low	No
Republican	38000	Male	45	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	7	unknown	No
Independent	78000	Female	38	StronglyDisapprove	Highschool	White	Married	unknown	NotReal	StronglyDisagree	StronglyAgree	0	Low	Yes
Independent	500000	Male	46	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	Low	Yes
Republican	77000	Female	51	unknown	Graduate	Latino	Relationship	Likely	unknown	StronglyAgree	StronglyAgree	0	High	Yes
Independent	103000	Male	51	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	No
Democrat	64000	Male	28	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	2	Low	Yes
Independent	166000	Male	28	SomewhatApprove	SomeCollege	White	unknown	Unlikely	RealNotCausedbyPeople	StronglyDisagree	StronglyAgree	5	AboutRight	No
Republican	102000	Male	49	SomewhatApprove	Highschool	White	Married	Unlikely	NotReal	SomewhatDisagree	SomewhatDisagree	1	High	Yes
Democrat	86000	Male	69	StronglyDisapprove	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Independent	74000	Male	38	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	4	Low	Yes
Independent	146000	Female	46	StronglyDisapprove	Graduate	White	Married	Likely	RealCausedbyPeople	SomewhatDisagree	SomewhatDisagree	5	High	Yes
Democrat	0	Female	49	StronglyDisapprove	Highschool	Black	Widowed	Likely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	10	Low	Yes
Republican	74000	Female	45	SomewhatApprove	Graduate	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	SomewhatAgree	26	High	No
Independent	0	Female	27	NeitherApproveDisapprove	College	Asian	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatAgree	30	AboutRight	No
unknown	0	Female	41	unknown	Graduate	Latino	Divorced	unknown	RealCausedbyPeople	SomewhatAgree	StronglyAgree	20	AboutRight	Yes
Democrat	0	Female	24	unknown	College	Asian	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	Yes
Democrat	0	Male	32	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
unknown	0	Male	54	SomewhatDisapprove	Highschool	White	Divorced	Likely	RealNotCausedbyPeople	StronglyAgree	unknown	400	High	No
Democrat	0	Male	51	StronglyDisapprove	Graduate	Asian	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Republican	0	Female	44	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	10	Low	No
unknown	0	Female	45	StronglyDisapprove	College	Black	Divorced	Likely	RealNotCausedbyPeople	StronglyAgree	NeitherAgreeDisagree	10	unknown	Yes
Democrat	0	Female	49	StronglyDisapprove	Graduate	Asian	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	25	Low	No
unknown	0	Female	18	StronglyDisapprove	Highschool	Black	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatAgree	40	AboutRight	No
Independent	0	Female	30	StronglyDisapprove	SomeCollege	Black	Married	Likely	RealNotCausedbyPeople	StronglyAgree	SomewhatDisagree	5	High	Yes
Independent	0	Female	29	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	Low	No
Republican	0	Female	21	StronglyApprove	SomeCollege	White	Single	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	StronglyAgree	5	AboutRight	No
Independent	0	Male	75	StronglyApprove	College	White	Divorced	Likely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	4	Low	Yes
Democrat	0	Female	50	StronglyDisapprove	SomeCollege	White	Relationship	Unlikely	RealCausedbyPeople	StronglyDisagree	SomewhatDisagree	2	Low	Yes
unknown	36000	Female	87	SomewhatApprove	SomeCollege	White	Widowed	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	20	unknown	No
Democrat	0	Male	72	StronglyDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	12	Low	unknown
Independent	0	Female	54	NeitherApproveDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	100	Low	Yes
Democrat	0	Female	18	SomewhatDisapprove	College	Latino	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	30	High	No
unknown	0	Male	41	StronglyDisapprove	SomeCollege	Asian	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	2	Low	unknown
Independent	0	Male	21	unknown	SomeCollege	Asian	Relationship	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	2	AboutRight	No
Democrat	0	Male	70	SomewhatApprove	SomeCollege	White	Widowed	Unlikely	RealNotCausedbyPeople	StronglyDisagree	SomewhatAgree	0	unknown	No
Independent	0	Female	22	StronglyDisapprove	College	Latino	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Independent	0	Female	97	SomewhatApprove	College	White	Widowed	Unlikely	unknown	SomewhatDisagree	unknown	5	unknown	No
unknown	0	Female	35	unknown	College	Asian	Single	Likely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	7	AboutRight	No
Democrat	0	Female	40	StronglyDisapprove	SomeCollege	Asian	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	Yes
Independent	0	Male	28	SomewhatApprove	SomeCollege	Other	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	30	AboutRight	No
unknown	0	Male	50	unknown	College	unknown	Single	Unlikely	RealCausedbyPeople	StronglyDisagree	unknown	7	High	No
unknown	0	Male	29	NeitherApproveDisapprove	SomeCollege	Latino	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	3	Low	No
Independent	0	Male	27	StronglyDisapprove	College	Other	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Independent	106000	Male	50	unknown	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	4	Low	unknown
Democrat	0	Male	20	StronglyDisapprove	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	7	Low	No
Democrat	0	Male	34	SomewhatDisapprove	SomeCollege	Black	Relationship	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyAgree	60	AboutRight	Yes
Independent	0	Other	34	SomewhatApprove	College	White	unknown	Likely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	18	High	No
Democrat	0	Male	34	StronglyApprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	1	Low	Yes
unknown	0	Male	33	NeitherApproveDisapprove	Graduate	Black	Single	Unlikely	unknown	SomewhatDisagree	NeitherAgreeDisagree	4	Low	No
unknown	0	Female	36	unknown	College	White	Married	Unlikely	unknown	StronglyAgree	SomewhatAgree	50	AboutRight	Yes
unknown	0	Male	74	StronglyApprove	Highschool	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	0	High	No
unknown	0	Other	21	StronglyApprove	Other	Black	Single	Likely	RealCausedbyPeople	StronglyDisagree	SomewhatDisagree	0	High	No
Republican	0	Male	29	SomewhatDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	0	Low	Yes
Independent	0	Female	37	StronglyApprove	Highschool	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	StronglyDisagree	0	High	No
Independent	0	Female	79	SomewhatDisapprove	Highschool	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	35	unknown	No
Independent	0	Male	23	StronglyDisapprove	Graduate	Latino	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	No
Democrat	0	Male	77	StronglyDisapprove	College	Black	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	10	Low	Yes
Republican	0	Male	36	StronglyApprove	SomeCollege	Latino	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	10	AboutRight	No
Republican	0	Male	69	StronglyApprove	SomeCollege	White	Married	Unlikely	NotReal	StronglyDisagree	unknown	3	AboutRight	unknown
Democrat	0	Female	20	StronglyDisapprove	Highschool	White	Single	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	100	Low	No
Independent	0	Male	34	StronglyDisapprove	SomeCollege	Black	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	Low	No
Independent	0	Male	23	NeitherApproveDisapprove	SomeCollege	White	Single	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	9	AboutRight	No
Independent	0	Male	51	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	6	AboutRight	No
Republican	0	Female	68	StronglyApprove	Highschool	White	Married	Likely	unknown	SomewhatDisagree	SomewhatDisagree	4	High	Yes
Democrat	0	Female	68	StronglyDisapprove	College	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	300	Low	No
Democrat	0	Female	44	StronglyDisapprove	Highschool	Black	Single	Likely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	12	AboutRight	Yes
unknown	0	Female	19	unknown	College	White	Single	Likely	unknown	StronglyDisagree	unknown	9	unknown	No
Republican	0	Male	20	SomewhatApprove	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	12	Low	No
unknown	0	Female	31	unknown	SomeCollege	Black	Relationship	Unlikely	RealNotCausedbyPeople	unknown	StronglyAgree	0	unknown	Yes
Republican	0	Female	67	StronglyApprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	150	unknown	No
unknown	127000	Female	85	SomewhatApprove	unknown	White	Married	unknown	unknown	SomewhatAgree	SomewhatAgree	0	AboutRight	Yes
Independent	24000	Female	28	SomewhatApprove	College	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	AboutRight	Yes
Republican	8000	Female	50	StronglyApprove	Highschool	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	AboutRight	Yes
Democrat	60000	Male	39	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	25	Low	No
Independent	167000	Female	34	StronglyDisapprove	SomeCollege	White	Married	Unlikely	unknown	SomewhatAgree	StronglyAgree	36	Low	No
Independent	43000	Male	50	unknown	Highschool	White	Married	Likely	RealCausedbyPeople	SomewhatDisagree	StronglyDisagree	2	unknown	No
Democrat	121000	Female	49	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	12	unknown	Yes
Democrat	74000	Female	42	StronglyDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Democrat	101000	Female	42	StronglyDisapprove	Graduate	unknown	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	AboutRight	Yes
Independent	360000	Female	65	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	unknown	12	Low	unknown
Democrat	30000	Female	49	StronglyDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyDisagree	50	Low	Yes
Republican	80000	Male	50	SomewhatApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	4	AboutRight	No
Independent	72000	Other	70	SomewhatApprove	Graduate	unknown	unknown	Unlikely	NotReal	StronglyAgree	StronglyDisagree	25	AboutRight	Yes
unknown	81000	Female	27	StronglyDisapprove	Graduate	Latino	Relationship	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	27	Low	Yes
Republican	54000	Female	54	StronglyApprove	SomeCollege	White	Married	Likely	RealNotCausedbyPeople	unknown	unknown	20	unknown	No
Independent	23000	Male	73	SomewhatDisapprove	Highschool	Asian	Married	Unlikely	NotReal	StronglyDisagree	StronglyAgree	3	High	No
unknown	44000	Female	44	unknown	SomeCollege	White	Widowed	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatAgree	6	Low	Yes
Democrat	159000	Female	45	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	18	Low	No
unknown	163000	Male	45	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	12	Low	No
Democrat	44000	Female	80	StronglyDisapprove	Highschool	White	Married	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	20	Low	Yes
Democrat	47000	Female	45	StronglyDisapprove	Other	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	Yes
Independent	124000	Female	80	StronglyDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	AboutRight	No
Independent	97000	Other	32	StronglyDisapprove	Highschool	Latino	Single	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	3	unknown	No
Democrat	220000	Male	45	StronglyDisapprove	College	Latino	Relationship	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	6	Low	Yes
Independent	0	Female	24	StronglyDisapprove	SomeCollege	White	Relationship	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	SomewhatAgree	30	unknown	Yes
Republican	0	Male	54	StronglyApprove	Graduate	White	Single	Unlikely	RealNotCausedbyPeople	StronglyDisagree	StronglyAgree	3	unknown	Yes
Independent	0	Female	43	StronglyDisapprove	Highschool	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	Low	No
Democrat	0	Female	43	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	7	AboutRight	No
Democrat	0	Female	31	StronglyDisapprove	College	Black	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatDisagree	4	High	No
unknown	0	Male	31	unknown	College	Latino	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	20	Low	No
